date,token,symbol,open_price,predicted_price,prediction_lb,prediction_ub
2025-01-22T00:00:00Z,AAVE,USD,361.5264777390865,356.0962538643738,334.81747748935214,364.76029215111686
2025-01-23T00:00:00Z,AAVE,USD,340.3849072986041,355.21106599613114,335.1592388655075,372.06706370997284
2025-01-24T00:00:00Z,AAVE,USD,340.740256915173,342.4079317750283,340.3179323640985,342.0420901617981
2025-01-25T00:00:00Z,AAVE,USD,349.96765051463586,331.3387241166021,320.0938574098124,340.4237200385847
2025-01-26T00:00:00Z,AAVE,USD,336.8863656664932,333.3695147680222,323.1225936723465,348.5629993305206
2025-01-27T00:00:00Z,AAVE,USD,311.67628273011303,350.04267134508905,334.4357144201976,357.60863588414554
2025-01-29T00:00:00Z,AAVE,USD,0.0,294.8032715516652,295.0393181787179,304.92771621029425
2025-01-30T00:00:00Z,AAVE,USD,0.0,296.8119124057717,291.59565227474957,306.071415510157
2025-01-31T00:00:00Z,AAVE,USD,0.0,291.9194183642831,286.2112430990166,301.9563049424098
2025-01-28T00:00:00Z,AAVE,USD,303.51351027227946,299.5540239715771,302.0290850599425,318.4169162079314
2024-08-13T00:00:00Z,AAVE,USD,99.4044377745992,93.15847100166633,85.30059154319044,100.50263861451957
2024-08-14T00:00:00Z,AAVE,USD,102.84025919874799,92.41114406551014,87.002651895023,102.67670718628374
2024-08-15T00:00:00Z,AAVE,USD,106.33749759309721,94.40902964310732,87.46881405612902,103.85961233346639
2024-07-23T00:00:00Z,AAVE,USD,93.8207615062783,97.3477699877262,0.0,97.3477699877262
2024-07-24T00:00:00Z,AAVE,USD,94.69024726243856,100.84006625066127,0.0,100.84006625066127
2024-07-25T00:00:00Z,AAVE,USD,92.64296626438389,99.7075453882255,0.0,99.7075453882255
2024-08-04T00:00:00Z,AAVE,USD,106.31912055731443,112.60152508332006,0.0,112.60152508332006
2024-08-05T00:00:00Z,AAVE,USD,100.35415421031442,110.16865840703255,0.0,110.16865840703255
2024-08-06T00:00:00Z,AAVE,USD,98.27663218849617,112.84982636419171,0.0,112.84982636419171
2024-08-07T00:00:00Z,AAVE,USD,76.62788086316831,101.15143757189168,0.0,101.15143757189168
2024-08-08T00:00:00Z,AAVE,USD,99.78164768993095,96.78804201256617,0.0,96.78804201256617
2024-08-10T00:00:00Z,AAVE,USD,95.49499653123259,95.24408789655682,0.0,95.24408789655682
2024-08-11T00:00:00Z,AAVE,USD,94.40735986102922,98.14100983018437,0.0,98.14100983018437
2024-08-12T00:00:00Z,AAVE,USD,92.40838580311834,83.01139187640433,0.0,83.01139187640433
2024-07-29T00:00:00Z,AAVE,USD,99.30666975397712,101.53486268777274,0.0,101.53486268777274
2024-07-30T00:00:00Z,AAVE,USD,105.70126213179518,100.48654575946051,0.0,100.48654575946051
2024-07-31T00:00:00Z,AAVE,USD,107.54461435202205,97.914026872851,0.0,97.914026872851
2024-08-01T00:00:00Z,AAVE,USD,108.26418347110501,108.15867084792693,0.0,108.15867084792693
2024-08-02T00:00:00Z,AAVE,USD,112.95237517364332,105.85635250037195,0.0,105.85635250037195
2024-08-03T00:00:00Z,AAVE,USD,109.90830268251948,103.61964885468215,0.0,103.61964885468215
2024-08-20T00:00:00Z,AAVE,USD,118.86285196523455,115.72648844725339,106.75881335363266,120.15583573613631
2024-08-21T00:00:00Z,AAVE,USD,129.49907296931306,113.63406946054393,103.95521028013309,115.73359759168055
2024-08-17T00:00:00Z,AAVE,USD,113.30543770588876,111.10398936114908,103.6037371322328,114.87689833224238
2024-08-18T00:00:00Z,AAVE,USD,111.66359072827913,108.17162043567622,101.14653078325998,112.18357739133558
2024-08-19T00:00:00Z,AAVE,USD,115.24007008514444,106.31723755214189,98.42885652640332,108.8148052738245
2024-08-24T00:00:00Z,AAVE,USD,143.18918545727286,128.5390144775627,114.83038270943408,141.31711933782327
2024-08-25T00:00:00Z,AAVE,USD,137.42423169984846,122.64197121378766,112.3081191006254,133.12937491854296
2024-08-26T00:00:00Z,AAVE,USD,136.7150692940319,139.6191165300736,129.0728119713044,148.01627591411022
2024-08-27T00:00:00Z,AAVE,USD,129.7778575283122,137.64917377575782,134.55088719183047,153.08199566719355
2024-08-23T00:00:00Z,AAVE,USD,133.335702306806,136.0205804783487,131.1257762064534,146.89268241058272
2024-10-22T00:00:00Z,AAVE,USD,155.68057061385662,155.2581642643479,153.3976818765282,166.66007339670287
2024-10-23T00:00:00Z,AAVE,USD,152.62673589285836,153.0099047495408,148.04359595110714,160.80018141168827
2024-10-23T00:00:00Z,AAVE,USD,152.62673589285836,159.9930484273599,151.8885852438794,165.0303089710441
2024-10-24T00:00:00Z,AAVE,USD,150.82016374501137,155.67325729574029,152.13083246720262,165.3486409053839
2024-10-24T00:00:00Z,AAVE,USD,150.82016374501137,158.6673611952337,153.17060775802582,166.3996653822381
2024-10-25T00:00:00Z,AAVE,USD,148.1658399916801,159.98425295210495,150.19526458538334,165.4103489271989
2024-10-26T00:00:00Z,AAVE,USD,140.09531723914156,151.04933650607066,142.53493716051312,157.45746537239725
2024-10-27T00:00:00Z,AAVE,USD,143.81000356801997,148.15047677394244,145.72942462171181,157.72959268334276
2024-10-28T00:00:00Z,AAVE,USD,148.6130176707538,149.27695698289236,144.622377472098,160.9047763895398
2024-09-29T00:00:00Z,AAVE,USD,165.2082235865675,165.52229022959818,156.98960703942765,174.0988371353479
2024-09-30T00:00:00Z,AAVE,USD,161.72287245532087,167.35151292129325,160.72606328576703,175.65686463168817
